user_id,activity,start_time,end_time,location,activity_type,duration_minutes,device_used,mood,focus_level,interrupted,day_of_week,hour_of_day
1,Reading paper,2025-04-01 09:00,2025-04-01 10:30,park,productive,90,laptop,1,3,False,Tuesday,9
1,Debugging code,2025-04-01 10:40,2025-04-01 11:10,park,productive,30,none,2,10,False,Tuesday,10
1,Stretching,2025-04-01 11:20,2025-04-01 12:20,park,health,60,phone,2,3,True,Tuesday,11
1,Reading paper,2025-04-01 12:35,2025-04-01 13:05,office,productive,30,none,1,10,False,Tuesday,12
1,Writing article,2025-04-01 13:05,2025-04-01 13:50,office,productive,45,phone,1,8,False,Tuesday,13
1,Meditation,2025-04-01 14:05,2025-04-01 14:35,office,health,30,none,2,8,False,Tuesday,14
1,Instagram scrolling,2025-04-01 14:50,2025-04-01 15:20,home,leisure,30,laptop,4,10,False,Tuesday,14
1,Meditation,2025-04-01 15:30,2025-04-01 15:45,office,health,15,laptop,4,9,False,Tuesday,15
1,Cleaning desk,2025-04-01 16:00,2025-04-01 16:10,cafe,neutral,10,laptop,1,6,False,Tuesday,16
1,Watching YouTube,2025-04-01 16:10,2025-04-01 17:10,office,leisure,60,laptop,2,6,False,Tuesday,16
1,Stretching,2025-04-02 07:00,2025-04-02 07:45,home,health,45,phone,1,9,False,Wednesday,7
1,Email checking,2025-04-02 07:45,2025-04-02 08:05,office,neutral,20,none,3,8,False,Wednesday,7
1,Project planning,2025-04-02 08:20,2025-04-02 09:50,home,productive,90,phone,4,8,False,Wednesday,8
1,Watching YouTube,2025-04-02 10:00,2025-04-02 10:20,home,leisure,20,phone,5,6,False,Wednesday,10
1,Coffee break,2025-04-02 10:35,2025-04-02 10:45,park,break,10,none,4,9,False,Wednesday,10
1,Lunch break,2025-04-02 11:00,2025-04-02 11:15,cafe,break,15,none,4,10,False,Wednesday,11
1,Code review,2025-04-02 11:15,2025-04-02 11:30,home,productive,15,laptop,1,6,False,Wednesday,11
1,Walking dog,2025-04-02 11:35,2025-04-02 12:20,park,health,45,laptop,5,8,False,Wednesday,11
1,Watching YouTube,2025-04-02 12:20,2025-04-02 12:35,cafe,leisure,15,laptop,5,8,False,Wednesday,12
1,Project planning,2025-04-02 12:50,2025-04-02 13:20,office,productive,30,phone,1,4,True,Wednesday,12
1,Reading book,2025-04-02 13:35,2025-04-02 14:20,park,leisure,45,laptop,3,3,False,Wednesday,13
1,Walking dog,2025-04-03 08:00,2025-04-03 08:45,office,health,45,phone,5,4,False,Thursday,8
1,Project planning,2025-04-03 09:00,2025-04-03 09:45,cafe,productive,45,laptop,4,3,False,Thursday,9
1,Podcast listening,2025-04-03 09:50,2025-04-03 10:10,office,learning,20,laptop,1,10,True,Thursday,9
1,Stretching,2025-04-03 10:25,2025-04-03 10:35,park,health,10,none,4,3,False,Thursday,10
1,Journal writing,2025-04-03 10:40,2025-04-03 10:55,office,reflective,15,phone,1,3,False,Thursday,10
1,Online course,2025-04-03 11:10,2025-04-03 12:40,park,learning,90,none,1,5,False,Thursday,11
1,Coffee break,2025-04-03 12:45,2025-04-03 13:00,park,break,15,phone,1,8,False,Thursday,12
1,Team meeting,2025-04-03 13:05,2025-04-03 13:25,cafe,productive,20,laptop,3,5,False,Thursday,13
1,Cleaning desk,2025-04-03 13:25,2025-04-03 13:35,office,neutral,10,none,4,5,True,Thursday,13
1,Walking dog,2025-04-04 08:00,2025-04-04 09:30,park,health,90,phone,3,7,False,Friday,8
1,Coffee break,2025-04-04 09:30,2025-04-04 09:40,park,break,10,none,5,8,False,Friday,9
1,Team meeting,2025-04-04 09:40,2025-04-04 10:10,office,productive,30,phone,3,5,False,Friday,9
1,Meditation,2025-04-04 10:10,2025-04-04 10:40,cafe,health,30,none,4,7,True,Friday,10
1,Online course,2025-04-04 10:50,2025-04-04 11:10,office,learning,20,none,2,7,True,Friday,10
1,Coffee break,2025-04-04 11:15,2025-04-04 12:15,home,break,60,none,2,8,False,Friday,11
1,Cleaning desk,2025-04-04 12:20,2025-04-04 12:30,office,neutral,10,laptop,3,10,False,Friday,12
1,Stretching,2025-04-04 12:35,2025-04-04 14:05,office,health,90,laptop,4,8,False,Friday,12
1,Zoom call,2025-04-04 14:15,2025-04-04 14:25,park,productive,10,none,4,4,False,Friday,14
1,Walking dog,2025-04-04 14:35,2025-04-04 14:50,park,health,15,laptop,3,7,False,Friday,14
1,Writing article,2025-04-04 15:05,2025-04-04 16:35,park,productive,90,laptop,4,9,False,Friday,15
1,Writing article,2025-04-04 16:35,2025-04-04 17:20,office,productive,45,phone,2,6,False,Friday,16
1,Zoom call,2025-04-04 17:20,2025-04-04 18:50,park,productive,90,phone,4,9,False,Friday,17
1,Cleaning desk,2025-04-04 18:55,2025-04-04 19:15,office,neutral,20,laptop,4,6,True,Friday,18
1,Email checking,2025-04-05 08:00,2025-04-05 08:45,office,neutral,45,none,1,10,True,Saturday,8
1,Email checking,2025-04-05 09:00,2025-04-05 09:15,cafe,neutral,15,none,5,8,False,Saturday,9
1,Walking dog,2025-04-05 09:25,2025-04-05 09:40,cafe,health,15,phone,3,5,False,Saturday,9
1,Walking dog,2025-04-05 09:45,2025-04-05 10:05,home,health,20,laptop,1,7,True,Saturday,9
